Sample ID ,Soil pH,"Soil Moisture Content 
(water content %)","LOI 
(% weight loss)","Water Extractable P
(1:10 ratio)
(mg/kg)","Water Extractable P
(1:100 ratio)
(mg/kg)",Mod M3 P (mg/kg),Mehlich III - P (mg/kg),Total P (mg/kg),"Total Ag
(mg/kg)","Total Al
(mg/kg)","Total As 
(mg/kg)","Total Ba
(mg/kg)","Total Ca
(mg/kg)","Total Cd
(mg/kg)","Total Co
(mg/kg)","Total Cr
(mg/kg)","Total Cu
(mg/kg)","Total Fe
(mg/kg)","Total K
(mg/kg)","Total Li
(mg/kg)","Total Mg
(mg/kg)","Total Mn
(mg/kg)","Total Na
(mg/kg)","Total Ni
(mg/kg)","Total Pb
(mg/kg)","Total S
(mg/kg)","Total Se
(mg/kg)","Total Si
(mg/kg)","Total Zn
(mg/kg)"
LF 1 A 0.5-1.0,NM,29.28132946,1.053631006,2.64,NM,NM,15.71262918,,0.141934078,5061.900002,3.255028689,80.21961526,2206.693488,1.700630272,7.433434718,14.08553362,7.436550606,9529.038353,503.5543886,6.236503885,427.6062262,538.7864882,23.66495573,12.64341462,14.46825064,101.1449532,BL,36.73535447,45.13181352
LF 1 B 0.5-1.0,NM,29.25186594,1.378232101,3.329556059,NM,NM,8.047269304,,0.29601916,4717.487351,2.574596687,83.86581342,2793.103397,1.413692649,6.928496191,13.35454491,8.024975289,10662.12519,630.7974543,6.89238958,453.4446871,613.9487876,24.8285582,10.96948808,23.25007422,135.2928095,BL,31.94830946,56.99585061
LF 1 C 0.5-1.0,NM,30.90985408,1.641542918,4.009064552,NM,NM,9.936464061,,0.212927253,5819.928083,4.891602839,92.97683238,3285.878253,2.026207159,7.733795458,14.36690535,8.555794833,11175.84139,607.162793,7.608873679,510.6056396,763.2095653,26.37150525,12.72019858,19.38173596,181.621888,BL,31.09141713,54.10859222
LF 1 D 0.5-1.0,NM,33.62768482,1.092785425,3.259130898,NM,NM,11.71191225,,0.130086973,9679.925093,2.261061307,82.04592953,1932.57814,1.674639217,7.049976137,25.43184039,7.700736489,9905.291755,1175.263647,13.75656173,751.8744922,425.7424377,45.38136658,14.64319287,15.45843349,89.27232052,BL,52.40128926,47.11882511
LF 1 E 0.5-1.0,NM,31.61737072,1.988140749,3.819618038,NM,NM,10.43425307,,0.251351612,7182.882272,4.45716621,106.44707,3355.378404,2.520127707,8.921737458,17.74473127,10.13494789,13444.22793,874.5958282,11.14066495,655.1665457,874.7788221,31.0393353,14.93379122,25.38670182,176.8978638,BL,31.05345375,69.10311397
LF 2 A 0.5-1.0,NM,31.38325557,2.133211956,1.529592109,NM,NM,1.710233883,,0.17680945,8824.034157,4.502761576,131.060272,3530.779954,2.34951324,10.5521248,19.90549435,9.776365319,13764.54968,896.8557791,14.08585514,791.2458057,1018.069668,32.71648281,18.9487564,20.7336339,209.131158,BL,33.63912027,59.68248946
LF 2 B 0.5-1.0,NM,27.34094056,1.263674578,1.209637109,NM,NM,4.099573561,,0.173491873,7551.825866,4.985927078,119.1954994,2194.757129,2.091989208,10.25237162,16.94019663,8.180131176,12748.31957,739.6720874,10.42628819,633.174197,993.2760088,23.18027671,16.54288538,17.48073954,124.1411857,BL,28.7116308,45.19654399
LF 2 C 0.5-1.0,NM,29.01984909,2.019087097,2.209263579,NM,NM,5.934087365,,0.240803276,7434.710947,4.863430114,120.7366076,3253.70219,2.50972686,9.488523008,17.49154146,10.5531375,13823.91313,791.0762895,12.64759371,639.0184398,905.24313,31.27684538,15.37617733,27.5434996,190.8376108,BL,29.38896556,62.84676198
LF 2 D 0.5-1.0,NM,29.30016189,1.817806469,3.338998301,NM,NM,8.323802479,,0.228609573,7034.409218,5.769147252,123.874443,2777.786002,2.545552618,10.19738456,16.2754043,9.895000977,13430.8696,804.6487931,10.44895492,601.9040476,933.787246,22.22464399,16.68909778,20.09208604,182.9545439,BL,25.65089252,50.67216034
LF 11 20-30,NM,28.1128431,2.154387001,2.828679949,NM,18.41815818,11.5479087,,0.177281216,6010.251205,4.445643796,99.23350951,2917.840543,2.290121205,8.229637871,14.35995342,8.897413446,12535.1077,784.0721057,8.996558651,500.9832801,845.6874934,25.00080428,13.54465654,22.19682552,162.8715886,BL,29.92424702,50.07711883
LF 12 20-30,NM,26.05061801,2.639355272,2.699730027,NM,NM,8.953867689,,BL,5565.181281,4.790190583,110.9266911,3064.878889,BL,8.099184739,14.14218067,9.296007511,14644.9756,829.5235283,8.520949902,525.4756769,851.0980096,25.92907837,12.57667582,34.06729478,200.2641804,BL,31.84338128,49.99690328
LF 13 20-30,NM,25.24756213,2.046667026,2.039456145,NM,NM,10.17656234,,BL,5090.995519,BL,104.7214279,2760.541116,BL,8.93079746,14.12645059,9.262076575,15120.81975,750.4657486,6.659928979,480.7447187,1010.62511,22.2023485,12.2670773,35.86633787,169.118321,BL,36.62129971,53.41238666
LF 14 20-30,NM,26.72515653,1.940565205,2.979106268,NM,14.81901207,17.34512012,,0.167684147,4855.637829,3.441681257,86.92130801,2139.989092,1.908292827,7.049104271,12.342211,8.406363199,11344.75264,573.4186681,6.274353933,393.6923992,519.0147178,22.52133862,10.87706411,23.50739708,127.5396651,BL,40.41562651,38.20555441
LF 15 20-30,6.37,26.33229021,1.766388479,3.307464277,NM,9.909009099,11.07874425,,0.121737144,5058.648832,3.441536485,85.92347765,1959.896952,1.796815883,7.173861279,12.94820229,7.834531502,9677.867856,537.6243291,7.17254136,403.5357889,484.3787968,20.42605107,12.410183,14.10201456,92.5563752,BL,21.49670844,35.63720371
LF 16 20-30,NM,28.90263487,1.931118142,2.069793021,NM,NM,8.736684321,,BL,5082.437112,4.754814113,107.5343941,2627.118094,BL,8.254563831,13.75495857,8.980506493,14457.79904,759.7949796,6.948087689,492.4561132,914.8201455,21.05299916,12.0166679,34.25787413,151.8599235,BL,30.42736817,48.01062619
LF 17 20-30,6.45,26.48474399,2.024865533,4.336675216,NM,19.9060188,10.59775438,,0.190232673,8107.479105,4.658293134,117.0120456,2659.712971,2.413916377,9.300810375,18.82412229,9.970978468,12610.45326,1050.326117,14.24819161,657.0392724,916.6541143,29.58092458,17.58090004,15.86030339,128.6923522,BL,25.72351408,51.85535741
LF 18 20-30,6.41,28.73089934,1.802403396,2.838769866,NM,8.069193081,11.34363503,,0.165865392,7176.837654,4.268495089,96.47221513,2463.506247,2.092858128,8.196643009,16.94309338,8.840409985,11445.96508,783.9565695,12.00477701,534.5830301,399.3765788,27.95062652,14.84356781,15.79619112,98.34402198,BL,38.90676908,39.51073656
LF 19 20-30,6.93,20.38221473,1.846950258,3.257068638,NM,4.75904819,10.90774486,,0.188908532,8976.031664,4.397593394,103.5072887,3439.522048,2.149283966,8.450138523,18.99347398,9.413376861,12204.21535,939.2390448,14.40974558,585.2712979,766.2999095,41.95762244,16.412854,13.24260108,180.5129396,BL,35.373251,50.49415144
LF 20 20-30,6.93,21.68972938,1.732735987,3.647082334,NM,5.929209439,9.748235765,,0.176259195,7011.895342,3.975384395,99.17866601,3271.857528,2.01537393,8.278840975,14.97730667,8.899754048,12659.06316,723.2122253,9.865276445,504.0602115,781.4363073,26.52896043,14.92512738,13.64899437,179.6303061,BL,37.03374139,44.09150468
LF 21 20-30,6.11,17.87094611,1.834847602,4.348840309,NM,9.178776163,12.66840352,,0.208346234,11478.22999,3.919584266,122.4252761,2673.303392,2.394284057,9.572506313,20.83380032,10.42646866,14887.1323,1235.261673,17.17472602,759.6962176,888.5817703,35.83647827,17.35981978,17.65273915,177.9585501,BL,43.51956718,59.64042135
LF 22 20-30,NM,24.58891324,1.164862085,3.128644254,NM,10.88745959,10.65512966,,0.136630858,5768.126314,3.49596783,75.78506068,1915.464259,1.643974442,6.722053867,13.8324917,6.507275074,10284.19641,594.524496,7.769420551,396.3687828,468.0754021,22.2054847,11.78845719,12.16670139,82.54972207,BL,47.73701925,35.85044185
LF 23 20-30,NM,28.74825694,2.244337984,2.338908509,NM,7.73845231,8.896289141,,0.197914975,9495.20641,4.744147532,104.9945689,3969.009951,2.137730812,8.508268263,17.9466435,9.321826464,14174.29985,962.7219545,14.2386696,636.3500935,815.6483994,36.62547901,16.5836559,13.49547656,196.5772069,BL,73.13212601,48.86071354
LF 24 20-30,NM,27.37904766,2.352058561,2.169783022,NM,NM,9.64392975,,BL,4002.289879,BL,89.81566158,3311.624026,BL,6.941312884,11.37085104,7.637954392,11586.88544,620.6329436,5.726855255,384.4790252,768.5182066,21.68363337,10.26302222,27.16768596,211.3409518,BL,27.05528143,41.43217612
LF 25 20-30,NM,26.35706365,1.895500998,2.979304829,NM,6.249166778,12.45720188,,0.204975825,7603.393208,4.779863962,119.210002,3280.720616,2.357991026,8.863179263,15.43696621,9.929381676,14681.10465,688.7597861,9.646168455,510.4092856,798.7689474,27.82041813,16.29439885,16.15689381,140.7770682,BL,35.09577816,47.90722862
LF 26 20-30,NM,26.02329822,2.44298574,1.689662068,NM,NM,8.733484283,,BL,4205.622277,BL,94.20585838,3552.343904,1.005198675,6.628623565,12.37610283,8.465255228,11124.81073,677.0726279,6.193761497,421.4982336,679.5537153,19.01032451,10.93044396,27.20754169,673.9886408,BL,31.12197208,40.05142354
LF 27 20-30,NM,26.52586694,1.52492424,2.358742004,NM,NM,9.691566747,,BL,5309.111985,4.887424763,103.3300554,2729.175542,1.178027773,7.824596181,13.89672309,8.692487841,13949.47293,711.5510228,7.798121147,478.5151039,769.7760745,25.81137831,12.25171132,32.27373388,153.1093487,BL,28.86779862,46.15666325
LF 28 20-30,NM,26.53019797,1.821039667,2.078891258,NM,NM,12.19202319,,BL,5350.187334,4.859023107,112.1858425,3162.500975,1.300094697,8.626421512,14.24017289,9.458740755,15443.03362,739.4687137,7.487974672,503.2108944,857.2152425,28.71467943,12.78467329,35.57300783,176.6998368,BL,23.57918275,48.1088549
LF 29 20-30,NM,25.63527447,1.812577383,2.938530735,NM,12.33753249,12.72490669,,0.160581545,9323.232402,4.756857264,113.5308453,2982.804757,2.339434643,9.005564515,18.40188769,10.27670715,14486.14521,949.3838852,14.27077649,639.9548132,723.7673262,31.38483908,17.07517095,15.77475724,158.5898835,BL,62.96915134,53.07122832
LF 30 20-30,NM,32.21218281,2.470524873,3.059082275,NM,9.809346044,13.36375271,,0.211197904,10268.35526,5.729962381,129.9868168,3561.728927,2.693517652,10.57303731,18.49824635,11.16669131,17464.02988,1035.670576,14.64750382,708.2984246,1012.462422,32.1129647,18.74271023,16.97827855,209.8580241,BL,42.03947152,61.47963793
LF 31 20-30,NM,29.82179327,1.835521874,4.427786107,NM,10.79856019,14.53166928,,0.189557196,10439.09481,4.700915731,117.7966981,3109.015422,2.403112642,9.653238757,19.75401743,10.46376273,15594.74353,1135.052054,15.67232188,693.5543361,871.9250895,31.6172157,18.11827753,15.3388245,167.7483585,BL,46.45034886,55.50994995
LF 32 20-30,NM,32.03000058,1.782450159,2.698830507,NM,5.579442056,10.75674163,,0.215442312,6648.238143,5.338026527,105.1245659,3389.847781,2.249840964,8.832919896,16.2894804,10.27622221,11903.70328,815.6413905,13.16250448,621.9201702,950.4447882,59.56630713,12.93169646,35.9579129,206.3400089,BL,56.69431604,54.2604089
LF 33 20-30,NM,29.33429151,1.860709831,2.348825587,NM,2.499916669,9.480439707,,0.167764002,6287.510523,4.241155807,105.5154813,4476.499198,2.234448528,8.625847825,15.35686693,10.59422135,12428.74222,833.7017408,12.16482837,635.0222818,941.6938927,60.5948931,12.55268841,35.99194686,253.7845095,BL,51.89851548,51.78599084
LF 34 20-30,NM,35.42139831,2.706202073,2.928535732,NM,6.899540031,17.13206717,,0.19970151,5861.517867,4.486962947,102.6808596,3470.327986,2.239892417,8.754939904,14.98179154,10.55300344,12667.3497,863.8471848,10.69967263,590.9836205,921.6219971,57.14141581,12.69261656,35.6586116,224.8624002,BL,62.26155254,56.10948183
LF 35 20-30,NM,31.84635724,1.245396461,2.829245535,NM,18.02759632,26.32216346,,0.175732157,5452.768336,5.000056996,106.5394698,3553.424303,2.129157521,8.743291327,14.35803561,10.38867612,12491.42444,789.522772,9.516984583,559.1467005,929.2440182,55.42939626,12.35850602,36.13145359,220.5272382,BL,61.91272273,48.12187633
LF 36 20-30,NM,28.25078509,1.361873253,2.869043652,NM,8.148641893,3.275102408,,0.167472408,6659.136469,4.127067961,97.54798697,3180.056244,2.089792533,8.052047517,16.95472115,9.123633688,11445.11304,848.9763077,12.79433125,632.3328948,858.231548,62.49740299,12.18278197,34.10657016,220.7044786,BL,62.3805066,51.33013143
LF 37 20-30,NM,29.08654302,1.436724392,1.809336577,NM,6.189587361,0.960961776,,0.16316593,4280.049651,4.451347023,90.14504063,3284.511904,1.857663982,7.395852925,12.07116372,9.253516907,10088.37098,689.9681778,6.933424138,485.3343188,770.0126297,BL,10.49772426,30.08869974,221.4233635,BL,64.31122281,42.38898322
LF 38 20-30,NM,22.45322245,1.024898215,1.599520144,32.09197701,6.469353065,1.838413671,,0.167108123,5392.407372,4.351400461,89.60073977,2437.899033,2.061468272,7.749085592,15.5237721,8.76037599,11298.21343,681.358618,9.991056561,505.4215962,758.0304609,57.09372702,13.43519062,33.33250744,111.8727851,BL,44.68862241,47.59902587
LF 39 20-30,NM,27.24989535,2.062002453,1.919104418,NM,NM,4.099487402,,BL,3369.33502,BL,75.4520661,2785.225401,BL,6.406385061,10.60938785,6.508599245,9821.138731,539.1887068,4.546086919,327.1320506,652.5175719,17.37041169,8.857081216,23.19150945,180.4735845,BL,26.9998766,33.28271583
LF 40 20-30,NM,NM,NM,2.258945825,NM,NM,7.278671196,,BL,4398.904597,BL,106.8707589,3709.288457,BL,8.204765637,12.36481538,9.16424515,13548.06934,670.6273244,5.980629217,448.1802199,933.4613554,21.9988731,11.62083394,32.2198619,296.6535381,BL,21.45878942,47.93359764
LF 41 20-30,NM,NM,NM,2.368973445,NM,NM,9.903315337,,BL,4112.44335,BL,105.9270502,3475.244969,1.141337236,8.082653726,12.00452538,8.948119554,13010.73238,640.4558458,5.58823292,418.1845382,936.0568461,23.09682706,11.59572804,30.36812048,282.5222481,BL,34.11876928,46.8162017
LF 42 20-30,NM,NM,NM,2.419193602,NM,NM,8.208859485,,BL,3876.136629,BL,97.12723621,3189.126247,1.230846533,7.67612335,11.76868254,8.63984717,12277.56681,703.5471827,5.085520317,408.6756022,901.9755029,16.11817567,11.20741474,28.42841297,272.7637857,BL,23.6295069,49.30363219
